Date,Time,MSec,Sample,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12
4/8/2016,10:30:03,60,0,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:30:03,263,1,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:30:03,465,2,81,78,82,84,84,85,82,82,85,83,84,83
4/8/2016,10:30:03,668,3,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:30:03,871,4,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:30:04,58,5,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:30:04,261,6,81,78,82,84,84,85,82,82,85,83,84,82
4/8/2016,10:30:04,464,7,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:30:04,667,8,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:30:04,869,9,81,78,82,84,84,85,82,82,85,83,84,83
4/8/2016,10:30:05,72,10,81,78,82,83,84,85,82,82,84,83,84,83
4/8/2016,10:30:05,259,11,81,78,82,84,83,85,82,82,84,83,84,83
4/8/2016,10:30:05,462,12,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:30:05,665,13,81,78,82,84,84,85,82,82,85,83,84,82
4/8/2016,10:30:05,868,14,81,78,82,84,83,85,82,82,84,83,84,83
4/8/2016,10:30:06,71,15,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:30:06,258,16,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:30:06,461,17,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:30:06,663,18,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:30:06,866,19,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:30:07,69,20,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:30:07,272,21,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:30:07,459,22,81,78,82,84,83,85,82,82,85,83,84,82
4/8/2016,10:30:07,662,23,81,78,82,84,84,85,82,82,85,83,84,82
4/8/2016,10:30:07,865,24,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:30:08,67,25,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:30:08,270,26,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:30:08,457,27,81,78,82,84,84,85,82,82,85,83,84,82
4/8/2016,10:30:08,660,28,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:30:08,863,29,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:30:09,66,30,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:30:09,269,31,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:30:09,471,32,81,78,82,84,84,85,82,82,84,83,84,82
4/8/2016,10:30:09,659,33,81,78,82,84,84,85,82,82,85,83,84,82
4/8/2016,10:30:09,861,34,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:30:10,64,35,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:30:10,267,36,81,78,82,84,84,85,82,82,84,83,84,83
4/8/2016,10:30:10,470,37,81,78,82,84,84,85,82,82,84,83,84,83
