"DFM","Chamber","PI","EventPI","LicksA","LicksB","EventsA","EventsB","MeanDurationA","MedDurationA","MeanDurationB","MedDurationB","MeanTimeBtwA","MedTimeBtwA","MeanTimeBtwB","MedTimeBtwB","MeanIntA","MedianIntA","MeanIntB","MedianIntB","StartMin","EndMin","BaselineWindowMin","SignalThreshold","FeedingThreshold","FeedingMinimum","TastingLow","TastingHigh","UseAdaptiveThresh","AdapThreshMin","AdapThreshWinMin","AdapThreshSelQuant","FeedingMinEvents","SamplesSec","ChamberSize","Ch1","Ch2","Ch3","Ch4","Ch5","Ch6","Ch7","Ch8","Ch9","Ch10","Ch11","Ch12"
1,1,0.657142857142857,0.5,29,6,3,1,1.93333333333333,1.4,1.2,1.2,1846.1,1257.2,3694.5,3694.5,82.9310344827586,70,91,77,0,0,3,50,120,40,10,40,0,8,2,0.9,5,5,2,1,3,5,7,9,11,2,4,6,8,10,12
1,2,0.25,0,10,6,1,1,2,2,1.2,1.2,3694.1,3694.1,3694.5,3694.5,71.2,68,65.8333333333333,54.5,0,0,3,50,120,40,10,40,0,8,2,0.9,5,5,2,1,3,5,7,9,11,2,4,6,8,10,12
1,3,0.818181818181818,0.666666666666667,50,5,5,1,2,2,1,1,1230.03333333333,268.1,3694.6,3694.6,106.32,96.5,112,138,0,0,3,50,120,40,10,40,0,8,2,0.9,5,5,2,1,3,5,7,9,11,2,4,6,8,10,12
1,4,0.0857142857142857,0.333333333333333,19,16,2,1,1.9,1.9,3.2,3.2,2462.13333333333,1447.8,3693.5,3693.5,79.4736842105263,62,79.25,70,0,0,3,50,120,40,10,40,0,8,2,0.9,5,5,2,1,3,5,7,9,11,2,4,6,8,10,12
1,5,1,1,11,0,1,0,2.2,2.2,0,0,3694,3694,7390.2,7390.2,97.7272727272727,76,0,0,0,0,3,50,120,40,10,40,0,8,2,0.9,5,5,2,1,3,5,7,9,11,2,4,6,8,10,12
1,6,1,1,73,0,9,0,1.62222222222222,1.6,0,0,737.56,307.7,7390.2,7390.2,86.3287671232877,75,0,0,0,0,3,50,120,40,10,40,0,8,2,0.9,5,5,2,1,3,5,7,9,11,2,4,6,8,10,12
2,1,1,1,21,0,1,0,4.2,4.2,0,0,3677.5,3677.5,7359.2,7359.2,86.4285714285714,75,0,0,0,0,3,50,120,40,10,40,0,8,2,0.9,5,5,2,1,3,5,7,9,11,2,4,6,8,10,12
2,2,0,0,0,0,0,0,0,0,0,0,7359.2,7359.2,7359.2,7359.2,0,0,0,0,0,0,3,50,120,40,10,40,0,8,2,0.9,5,5,2,1,3,5,7,9,11,2,4,6,8,10,12
2,3,1,1,21,0,2,0,2.1,2.1,0,0,2451.66666666667,923.8,7359.2,7359.2,101.095238095238,87,0,0,0,0,3,50,120,40,10,40,0,8,2,0.9,5,5,2,1,3,5,7,9,11,2,4,6,8,10,12
2,4,-0.28,0,9,16,1,1,1.8,1.8,3.2,3.2,3678.7,3678.7,3678,3678,113.111111111111,121,75.5,62,0,0,3,50,120,40,10,40,0,8,2,0.9,5,5,2,1,3,5,7,9,11,2,4,6,8,10,12
2,5,1,1,10,0,1,0,2,2,0,0,3678.6,3678.6,7359.2,7359.2,67.7,57.5,0,0,0,0,3,50,120,40,10,40,0,8,2,0.9,5,5,2,1,3,5,7,9,11,2,4,6,8,10,12
2,6,1,1,38,0,5,0,1.52,1.6,0,0,1225.26666666667,193.9,7359.2,7359.2,107.236842105263,85,0,0,0,0,3,50,120,40,10,40,0,8,2,0.9,5,5,2,1,3,5,7,9,11,2,4,6,8,10,12
